Lang	Family	NINE	ONE	SEVEN	SIX	TEN	THREE	TWO	EIGHT	FIVE	FOUR
138736	swe	30   	21   5   5   5   	28   6   6   	27   172255   7   	31   	9   	23   10   10   	29   1   	2   2   	25   
120866	bhw	4   	5   5   	6   6   	7   	8   	9   	23   10   	1   	2   2   26   2   	3   3   
87188	bhw	4   4   	5   	6   	7   	8   	9   	10   10   	1   	2   	3   
115159	bhw	30   	5   	6   	7   	8   	24   	10   	1   	2   26   26   	25   3   
100443	bhw	4   4   	5   5   	6   	7   7   	8   	9   	10   10   	1   	2   2   2   	3   3   
142625	swe		22   	28   	7   	31   	24   	23   10   	29   1   	2   2   	25   
142624	swe	30   	21   	28   	27   	8   	24   9   9   	23   	29   1   1   	2   26   	3   25   3   
134749	bhw	4   	5   5   5   	6   	7   	8   8   	9   9   9   9   	10   10   10   	1   	2   	3   
142623	bhw	4   4   	5   5   5   	6   	7   	8   	9   9   	10   10   10   	1   1   	2   2   26   3   	25   3   3   3   
81548	bhw	4   	5   	6   	7   7   	8   8   	9   9   9   	10   	1   1   1   1   1   	2   2   	3   
132765	bhw	4   	5   	6   	7   	8   	9   	10   	1   	2   	3   
142622	bhw	4   4   4   	5   	6   	7   7   	8   8   8   	9   9   	10   10   10   	1   	3   	3   3   
128798	swe	30   	21   5   	28   	7   	31   31   8   8   	24   	10   	29   	26   	3   3   
142621	bhw	4   	5   5   	6   28   	7   	8   	9   	10   	1   	2   	3   
128797	swe	30   	21   21   	28   	27   	31   8   	24   9   	10   	29   	2   2   	25   25   3   
142620	bhw	4   	5   		7   	8   	9   	10   	1   		3   
